project,file,line,resultStatus,durationMs,category,symptom,title,error
"chromium-public","tests/e2e-visitor-content-exploration.spec.ts","4","failed","2852","other","ambiguous main h1 selector after h1 body headings","e2e-visitor-content-exploration.spec.ts › E2E-003 visitor can move from home to works, through related content, and into blog details","Error: expect(locator).toHaveText(expected) failed Locator: locator('main h1') Expected: ""affadfad"" Error: strict mode violation: locator('main h1') resolved to 17 elements: 1) <h1 class=""mb-4 text-3xl font-heading font-bold leading-tight text-foreground text-balance md:text-4xl"">affadfad</h1> aka getByTestId('work-detail-body').getByRole('heading', { name: 'affadfad' }) 2) <h1 id=""1"">1</h1> aka getByRole('heading', { name: '1', exact: true }) 3) <h1 id=""2"">2</h1> aka getByRole('heading', { name: '2', exact: true }) 4) <h1 id=""3"">3</h1> aka getByRole('heading', { name: '3', exact: true }) 5) <h1 id=""4"">4</h1> aka getByRole('heading', { name: '4', exact: true }) 6) <h1 id=""5"">5</h1> aka getByRole('heading', { name: '5', exact: true }) 7) <h1 id=""6"">6</h1> aka getByRole('heading', { name: '6', exact: true }) 8) <h1 id=""7"">7</h1> aka getByTestId('work-detail-body').getByRole('heading', { name: '7' }) 9) <h1 id=""8"">8</h1> aka getByTestId('work-detail-body').getByRole('heading', { name: '8' }) 10) <h1 id=""9"">9</h1> aka getByTestId('work-detail-body').getByRole('heading', { name: '9' }) ... Call log: - Expect ""toHaveText"" with timeout 5000ms - waiting for locator('main h1') 2 × locator resolved to <h1 class=""text-3xl font-heading font-bold text-foreground md:text-4xl"">Works</h1> - unexpected value ""Works"" 14 | await firstWorkCard.click() 15 | > 16 | await expect(page.locator('main h1')).toHaveText(firstWorkTitle) | ^ 17 | await expect(page.getByTestId('work-related-shell')).toBeVisible() 18 | 19 | const relatedWorkCard = page.getByTestId('related-work-card').first() at /work/tests/e2e-visitor-content-exploration.spec.ts:16:41"
"chromium-public","tests/feature-recording-0418.spec.ts","303","timedOut","121210","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording mermaid rendering","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at /work/tests/feature-recording-0418.spec.ts:310:9"
"chromium-public","tests/feature-recording-0418.spec.ts","327","timedOut","121439","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording mermaid editor preview","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at /work/tests/feature-recording-0418.spec.ts:334:9"
"chromium-public","tests/feature-recording-0418.spec.ts","340","timedOut","121343","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording mermaid work rendering","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at /work/tests/feature-recording-0418.spec.ts:348:9"
"chromium-public","tests/feature-recording-0418.spec.ts","354","timedOut","121841","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording image resize drag","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at insertRecordingImage (/work/tests/feature-recording-0418.spec.ts:188:9) at /work/tests/feature-recording-0418.spec.ts:356:3"
"chromium-public","tests/feature-recording-0418.spec.ts","360","timedOut","121274","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording image work resize","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at insertRecordingImage (/work/tests/feature-recording-0418.spec.ts:188:9) at /work/tests/feature-recording-0418.spec.ts:362:3"
"chromium-public","tests/feature-recording-0418.spec.ts","366","timedOut","121336","recording/batch fixtures","recording editor API not reachable","feature-recording-0418.spec.ts › recording image drag move","Test timeout of 120000ms exceeded. Error: page.waitForFunction: Target page, context or browser has been closed 129 | 130 | async function waitForEditorApi(page: Page) { > 131 | await page.waitForFunction(() => Boolean((window as typeof window & { __WOONG_TIPTAP_EDITOR__?: unknown }).__WOONG_TIPTAP_EDITOR__)) | ^ 132 | } 133 | 134 | async function setEditorHtml(page: Page, html: string) { at waitForEditorApi (/work/tests/feature-recording-0418.spec.ts:131:14) at setEditorHtml (/work/tests/feature-recording-0418.spec.ts:135:9) at insertRecordingImage (/work/tests/feature-recording-0418.spec.ts:188:9) at /work/tests/feature-recording-0418.spec.ts:368:3"
"chromium-public","tests/mermaid-batch-prompt-0419.spec.ts","126","failed","0","recording/batch fixtures","other assertion/error","mermaid-batch-prompt-0419.spec.ts › save batch ai prompt before reading mermaid posts","Error: expect(received).toBeTruthy() Received: false 96 | }, 97 | }) > 98 | expect(response.ok()).toBeTruthy() | ^ 99 | const payload = await response.json() as { id: string; slug: string } 100 | return { ...payload, title } 101 | } at createBlog (/work/tests/mermaid-batch-prompt-0419.spec.ts:98:25) at /work/tests/mermaid-batch-prompt-0419.spec.ts:107:20"
"chromium-public","tests/mermaid-worstcase-0419.spec.ts","112","failed","0","recording/batch fixtures","other assertion/error","mermaid-worstcase-0419.spec.ts › admin mermaid blog #01","Error: expect(received).toBeTruthy() Received: false 81 | }, 82 | }) > 83 | expect(response.ok()).toBeTruthy() | ^ 84 | const payload = await response.json() as { id: string; slug: string } 85 | return { ...payload, title } 86 | } at createBlog (/work/tests/mermaid-worstcase-0419.spec.ts:83:25) at /work/tests/mermaid-worstcase-0419.spec.ts:92:20"
"chromium-public","tests/plain-baseline-0419.spec.ts","96","failed","0","recording/batch fixtures","other assertion/error","plain-baseline-0419.spec.ts › admin plain blog #01","Error: expect(received).toBeTruthy() Received: false 65 | }, 66 | }) > 67 | expect(response.ok()).toBeTruthy() | ^ 68 | const payload = await response.json() as { id: string; slug: string } 69 | return { ...payload, title } 70 | } at createBlog (/work/tests/plain-baseline-0419.spec.ts:67:25) at /work/tests/plain-baseline-0419.spec.ts:76:20"
